Código,Nome,CNPJ
EDITUP,EDITORA UPHOLD LTDA.,33616924000176
JCTUCCI2,JC TUCCI ASSESSORIA TECNICA EM SEGUROS LTDA,33618607000199
,BARBARA COCENZA CARVALHO 43772724892,33967392000111
,EDMILSON BATISTA DOS SANTOS 06926188807,34013073000130
BRAVO BRASIL,BRAVO BRASIL CORRETORA DE SEGUROS LTDA.,34060267000196
,LETICIA PAVONI GRASSELLI 02586884086,34118348000108
JOIN,JOIN TECHNOLOGY SUPORTE TECNICO EM TECNOLOGIA - EIRELI,34213321000196
HELOISA FERNANDA,HELOISA FERNANDA BELOTTI ARAUJO SOCIEDADE INDIVIDUAL DE ADVOCACIA,34225843000108
,EVOTEX CONSULTING SERVICOS DE APOIO ADMINISTRATIVOS - EIRELI,34230908000103
OTIAI,OTIAI CONSULTORIA & SERVICOS DE APOIO ADMINISTRATIVO EIRELI,34267873000187
VINICIUS SANTOS,VINICIUS SANTOS DANTAS 37686725812,34288519000139
,PHILIPPE CESAR SILVEIRA,34295439000100
RAFAEL ZAMBON,RAFAEL ZAMBON GARCIA,34396932000117
,COZISERVICE COMERCIO E MANUTENCAO DE EQUIPAMENTOS PARA COZINHAS LTDA,34534193000182
,NIKAELLI VILAROUCA MACIEL,34552942000102
,THE WATTERS DESENVOLVIMENTO DE SITES - EIRELI,34566358000106
VKWK,VKWK ASSESSORIA EMPRESARIAL LTDA,34566930000129
,PUTZ AUTOMODELISMO DE FENDA - EIRELI,34568898000110
CLIMB,CLIMB CORRETORA DE SEGUROS LTDA,34720999000165
,SAKURA SERVICOS DE APOIO ADMINISTRATIVO LTDA,34732616000179
,EDUARDO BARALDI,34746432000168
,"GAPEMI CONSULTORIA FINANCEIRA, PATRIMONIAL E CORRETORA DE SEGUROS LTDA",34863442000183
BARROS & MARTINS,BARROS & MARTINS CORRETORA DE SEGUROS - EIRELI,34913427000100
,CROITOR SERVICOS DE APOIO ADMINISTRATIVO LTDA,34974375000174
,MONEY3 PLANEJAMENTO FINANCEIRO LTDA,34974498000105
PISE4 STANDARDCLOUD,PISE4 STANDARDCLOUD SERVICOS E TREINAMENTOS EM TI LTDA,34975796000110
,SASPREV VIDA E PREVIDENCIA CORRETORA DE SEGUROS - EIRELI,35042329000108
,B R I 81 SERVICOS DE APOIO ADMINISTRATIVO - EIRELI,35043046000172
AHMILL,AHMILL CONSTRUCOES DE EDIFICIOS LTDA,35046983000181
,UNIVERSO ESTRELAR MATERIAIS PARA CONSTRUÇÃO LTDA,35047948000187
,GALZERANO SERVICOS DE APOIO ADMINISTRATIVO - EIRELI,35257646000133
INNOVALE,INNOVALE ADMINISTRADORA E CORRETORA DE SEGUROS LTDA,35349258000182
,WONDER CORRETORA DE SEGUROS E CONSORCIOS LTDA,35431704000101
,SAMPASEG CORRETORA DE SEGUROS LTDA,35449351000169
,BIO BRAND COMUNICACAO DIGITAL LTDA,35555470000104
,TCF CONSULTORIA E TECNOLOGIA LTDA,35556621000130
,MB E-CONS SERVICOS DE ENGENHARIA LTDA,35558213000118
,LICITASEG CORRETORA DE SEGUROS LTDA,35558307000197
,SERENITTA PLANEJAMENTO FINANCEIRO E CONSULTORIA LTDA,35611353000102
,FORTUNA UNIVERSAE SERVICOS DE APOIO ADMINISTRATIVO LTDA,35670866000194
,"TRINDADE, CONSULTORIA EMPRESARIAL, GESTAO FINANCEIRA, TREINAMENTOS NEGOCIOS LTDA",35706601000107
ERICK TENORIO PARUSSOLO,ERICK TENORIO PARUSSOLO 39366295878,35757508000113
,CONFORMITATIS SARAH M MEIRELES CONSULTORIA LTDA,35805616000114
,FINI CORRESPONDENTE BANCARIO LTDA,35812979000187
,NSC SERVICOS DE ENGENHARIA LTDA,35936047000146
CAIRES,CAIRES CORRETORA DE SEGUROS LTDA,36139694000190
JOSE DA C FILHO,JOSE DA C FILHO CORRETORA DE SEGUROS LTDA,36190744000163
SEG SCAVONE,SEG SCAVONE CORRETORA DE SEGUROS LTDA.,36235304000185
JOAO PAULO,JOAO PAULO EVANGELISTA MOREIRA VIRGINIO DE SOUSA,36269089000133
,RAISSA CAVALCANTE SERVICOS DE APOIO ADMINISTRATIVO EIRELI,36421640000112
,ICT SERVICOS DE APOIO ADMINISTRATIVO LTDA,36432947000119
,GIACOMINI SOCIEDADE INDIVIDUAL DE ADVOCACIA,36454003000142
,THIAGO HAGUI PLANEJAMENTO FINANCEIRO LTDA,36475974000179
RPF,RFP PROMOCAO DE VENDAS LTDA,36500891000192
,PLANO IDEAL CORRETORA DE SEGUROS LTDA,36506291000131
MATHEUS PEREZ,MATHEUS PEREZ TRINDADE 43104041890,36580948000100
BUSINESSFULNESS,BUSINESSFULNESS NOVO MARKETING LTDA,36648179000135
DOMINEEXCEL,DOMINEEXCEL TREINAMENTO DE INFORMATICA,36658547000126
,TKUSSIMA INTERMEDIACOES DE MIDIAS LTDA,36674432000125
AQUARELA,AQUARELA COACHING & DESENVOLVIMENTO LTDA,36697940000129
,BEATRIZ CINTHIA SERVICOS DE APOIO ADMINISTRATIVO EIRELI,36770019000164
,ACCESS SERVICO DE ENFERMAGEM E FISIOTERAPIA LTDA,36788069000179
,PRORISK ADM E CORRETORA DE SEGUROS LTDA,36933222000104
,NOVA SILCON CORRETORA DE SEGUROS LTDA,36983267000193
,RUMO NORTE TECNOLOGIA LTDA,37033471000106
,DOMO PRIME CONSULTORIA E CORRETORA DE SEGUROS LTDA,37054477000160
,ZAYED CORRETORA DE SEGUROS LTDA,37062766000100
,ROCHA & ROCHA BRASIL CORRETORA DE SEGUROS E GESTÃO FINANCEIRA LTDA,37108318000109
WF CORRETORA,WF CORRETORA DE SEGUROS LTDA,37110143000166
ED&FERRARI,ED&FERRARI CORRETORA DE SEGUROS LTDA,37128628000187
,CHIARELLA SERVICOS E DOCUMENTACOES LTDA,37140474000149
MIRIAN,MIRIAN ASSIS PLANEJAMENTO FINANCEIRO PESSOAL LTDA,37143887000187
MILLARD & VALENTE,MILLARD & VALENTE CORRETORA DE SEGUROS LTDA,37145370000127
,EMX ADMINISTRADORA E CORRETORA DE SEGUROS LTDA,37146252000133
,KENDRA CORRETORA DE SEGUROS LTDA,37155752000131
,DMX FINANCIAL CALL CENTER LTDA,37170387000134
,EMUNAH ADMINISTRADORA E CORRETORA DE SEGUROS LTDA,37175600000109
,R.S. ADMINISTRADORA E CORRETORA DE SEGUROS LTDA,37232207000100
,HORSELL CORRETORA DE SEGUROS LTDA,37241099000123
,SMG COMERCIO E CONFECCAO DE EPI LTDA,37251377000123
,AELCORR ADMINISTRADORA E CORRETORA DE SEGUROS LTDA,37258637000192
,RAUL MICCHI DE PAULA 38141738801,37354717000141
NIPOSEG,NIPOSEG CORRETORA DE SEGUROS LTDA,37425390000151
,MEU PLANO SEGURO LTDA,37449259000124
,CENTRO DE ESTETICA E BELEZA BELA MODELO LTDA,37555100000194
,SERVE CORRETORA DE SEGUROS LTDA,37556573000106
UANDERSON,UANDERSON LEAL SOCIEDADE INDIVIDUAL DE ADVOCACIA,37576242000138
,GOI CORRETORA DE SEGUROS LTDA,37670321000103
TRIPLE,TRIPLE SEVEN MARKETING DIGITAL LTDA,37682144000185
,PROFISSIONAL DE SEGUROS TREINAMENTOS E CONTEUDOS LTDA,37686363000132
,CDL SANTOS SERVICOS DE APOIO ADMINISTRATIVO LTDA,37750084000190
,R MASCARENHAS CONSULTORIA & SERVIÇOS DE APOIO ADMINISTRATIVO LTDA,37759274000179
,BIANCHINI SERVICOS DE APOIO ADMINISTRATIVO - EIRELI,37794918000160
,SOS EDUCACAO FINANCEIRA E PLANEJAMENTO PESSOAL LTDA,37920560000174
,FFBC REPRESENTACOES COMERCIAIS LTDA,37920607000108
KALIFACOR,KALIFACOR CORRETORA DE SEGUROS LTDA,37928366000135
CARROZZI,CARROZZI CORRETORA DE SEGUROS LTDA.,37976246000103
PINFILDI,PINFILDI SERVICOS DE APOIO ADMINISTRATIVO LTDA,37977490000190
,EZEPLAN CONSTRUCOES LTDA,38035407000127
,FELIPE INOUE DICK 21336061812,38055533000143
NATIV,NATIV PSICOLOGIA LTDA.,38089877000173
,PTG TECNOLOGIA E INOVACAO LTDA,38121153000160
SASQUAT,SASQUAT SOFTWARES TECNICO EM TECNOLOGIA LTDA.,38142371000180
DC PARTS,DC PARTS COMERCIO E SERVICOS DE TECNOLOGIA LTDA,38314497000195
THIAGO CHOPPAN,THIAGO BARBOSA SCHOPPAN 35107031897,38317963000196
NEW DREAMS,NEW DREAMS CONSULTORIA FINANCEIRA E EDUCACIONAL LTDA,38493736000111
CLSP DISTRIBUIDORA,CLSP DISTRIBUIDORA DE EQUIPAMENTOS MEDICOS E ODONTOLOGICOS EIRELI,39227057000163
BRUNO DURAES,BRUNO DURAES PLANEJAMENTO E CONSULTORIA LTDA,39306848000189
AGUIA RL,AGUIA RL CORRETORA DE SEGUROS LTDA,39325200000150
OFEL,OFEL CONSULTORIA E CORRETORA DE SEGUROS LTDA,39356494000187
VIOLLA,VIOLLA CORRETORA DE SEGUROS LTDA,39363475000188
ENFOQUE,ENFOQUE MAIS CORRETORA DE SEGUROS LTDA,39489351000143
FLAVIA ELVIRA,FLAVIA ELVIRA DA CUNHA APOIO ADMINISTRATIVO,39694862000105
AFFITTO,AFFITTO ADMINISTRADORA DE CONDOMÍNIO E CORRETORA DE SEGUROS LTDA.,39824569000107
GARONE,GARONE CORRETORA DE SEGUROS LTDA,39850166000132
FABIANO MARCUS,FABIANO MARCUS TOLEDO COSTA,39856256000130
SECO,SECO ALVES SILVA SERVIÇOS DE APOIO ADMINISTRATIVO LTDA,39877280000156
REACH,REACH UP TRÁFEGO E PROMOÇÃO EM VENDAS LTDA,39877631000129
FERNANDO ALMEIDA DE JESUS 29066159863,FERNANDO ALMEIDA DE JESUS 29066159863,39897492000103
VITAS,VITAS CORRETORA DE SEGUROS LTDA,39901009000109
SPS CONSULTORIA,SPS CONSULTORIA E CORRETORA DE SEGUROS LTDA.,39919001000170
LASER LITORAL,LASER LITORAL EQUIPAMENTOS MÉDICOS LTDA,39923070000157
B2S,B2S GESTÃO DE NEGÓCIOS LTDA,39976629000107
MONTE REAL,MONTE REAL CORRETORA DE SEGUROS LTDA,39990008000188
VCAVALCANTI,VCAVALCANTI CORRETORA DE SEGUROS LTDA,40015738000147
PSPOTENZA,PSPOTENZA CORRETORA DE SEGUROS LTDA,40032004000176
TGPLUS,TGPLUS CORRETORA DE SEGUROS LTDA,40046929000176
MANOELA,MANOELA DE MELO MARTINS,40064819000137
NEW PASSION,NEW PASSION CORRETORA DE SEGUROS E BENEFICIOS LTDA.,40103691000173
EVAN JOUBERT,EVAN JOUBERT RUSH 23794894839,40108564000167
PLUGIN,PLUGIN INTELIGÊNCIA CONSULTORIA E CORRETORA DE SEGUROS LTDA.,40176697000170
NOBRE NEGÓCIOS IMOBILIÁRIO,NOBRE NEGÓCIOS IMOBILIÁRIOS E CORRETORA DE SEGUROS LTDA.,40218081000115
FRIGATTO,FRIGATTO COR CORRETORA DE SEGUROS E PLANEJAMENTO FINANCEIRO LTDA.,40256207000146
DRIELLE,DRIELLE CORRETORA DE SEGUROS LTDA,40289907000137
SORELLE,SORELLE CAMPOS CORRETORA DE SEGUROS LTDA,40336052000158
RIVIERA,RIVIERA CONSULTORIA E CORRETORA DE SEGUROS LTDA.,40343228000107
W WOLTRA,W WOLTRA CONSULTORIA E CORRETAGEM DE SEGUROS LTDA.,40348643000145
SEARA DIVINA,SEARA DIVINA CORRETORA DE SEGUROS LTDA.,40355529000142
LKBSS,LKBSS TECNOLOGIA LTDA.,40356134000164
SM PLANEJAMENTO,SM PLANEJAMENTO FINANCEIRO LTDA,40557783000123
M.M.R CORRETORA,M.M.R CORRETORA DE SEGUROS LTDA,40560275000102
CRISTALINA BARICHELLO,CORRETORA DE SEGUROS CRISTALINA BARICHELLO - EIRELI,40603418000108
SILVIA CAMARGHO,SILVIA CAMARGHO COMUNICACAO LTDA.,40606826000113
DPLS,DPLS CORRETORA DE SEGUROS LTDA.,40685890000137
LAVIC,LAVIC CONSULTORIA & BENEFÍCIOS LTDA.,40695043000153
GOMESSEGUROS,GOMESSEGUROS CORRETORA DE SEGUROS LTDA,40809959000197
DARIANO,DARIANO CORRETORA DE SEGUROS LTDA.,40861393000142
HGSEG,HGSEG CORRETORA DE SEGUROS LTDA,40864064000155
FAMOSA,FAMOSA CORRETORA DE SEGUROS LTDA,40936938000132
RC6 SERVIÇOS,RC6 SERVIÇOS EM INFORMÁTICAS LTDA.,40958792000126
MONTE ALTO INVESTIMENTOS - AGENTE AUTONOMO DE INVESTIMENTOS S/S LTDA,MONTE ALTO INVESTIMENTOS - AGENTE AUTONOMO DE INVESTIMENTOS S/S LTDA,40961777000137
DRA AMANDA,DRA AMANDA FABIANO ODONTOLOGIA LTDA.,41009883000188
DOUX CLÍNICA,DOUX CLÍNICA ODONTOLÓGICA LTDA,41010608000184
ADO CORRETORA,ADO CORRETORA DE SEGUROS LTDA.,41057616000186
RSF,RSF CONSULTORIA TECNICA EM TECNOLOGIA LTDA,41075542000100
ACELERAÇÃO DIGITAL,ACELERAÇÃO DIGITAL LTDA.,41147994000150
CREDTRUCK,CREDTRUCK CORRETORA DE SEGUROS LTDA.,41149615000161
GLÓRIA MARINHO,GLÓRIA MARINHO CORRETORA DE SEGUROS LTDA.,41164503000180
DIGITAL6,DIGITAL6 SERVIÇOS EM INFORMÁTICA LTDA.,41265060000113
ESTAR MAIS,ESTAR MAIS CORRETORA DE SEGUROS LTDA,41391698000109
PRISCILA BALTAZAR,PRISCILA BALTAZAR PONTES 43914664819,41398487000190
CDL SANTOS COMÉRCIO,CDL SANTOS COMÉRCIO DE EQUIPAMENTOS ELETROELETRÔNICOS EIRELI,41524362000169
ESTANS,ESTANS DESENVOLVIMENTO E PLANEJAMENTO HUMANO LTDA,41586745000161
M4,M4 CORRETORA DE SEGUROS LTDA.,41591981000176
LILAS,LILAS CORRETORA DE SEGUROS LTDA.,41600475000104
UP SEGG,UP SEGG CORRETORA DE SEGUROS LTDA.,41607139000185
MSGSEG,MSGSEG CORRETORA DE SEGUROS LTDA,41647851000108
LARA YACOUB,LARA YACOUB BACH 03782515030,41710207000137
MERIN,MERIN CORRETORA DE SEGUROS LTDA,41799204000111
EDGAR ROSA,EDGAR ROSA VIEIRA FILHO 09174740660,41896933000196
ZAIDEN HOUSES,ZAIDEN HOUSES BROKERS NEGÓCIOS IMOBILIÁRIOS LTDA,42033750000100
PLENA MAIS,PLENA MAIS CORRETORA DE SEGUROS LTDA,42037897000178
LFB,LFB ADMINISTRADORA E CORRETORA DE SEGUROS LTDA.,42057243000106
OLIVEIRA & SILVA,OLIVEIRA & SILVA CORRETORA DE SEGUROS LTDA,42082592000188
BERKÉLIO,BERKÉLIO SERVIÇOS DE APOIO DOCUMENTAL LTDA.,42165668000139
ISAGIO,ISAGIO CORRETORA DE SEGUROS LTDA,42177327000183
M&C SOLUCOES,M&C SOLUCOES DOCUMENTAIS E CORRESPONDENTE BANCARIO LTDA.,42194974000101
GALLO,GALLO & GOMES CORRETORA DE SEGUROS LTDA,42305283000120
KODIGILO,KODIGILO TECNOLOGIA DE INFORMATICA LTDA.,42347759000195
JADE,JADE CORRETORA DE SEGUROS LTDA,42425768000157
FASCINA,FASCINA SERVICOS DE APOIO DOCUMENTAL EIRELI,42563563000138
BERMAN,BERMAN FINANCAS LTDA,42610520000166
CONAFER,CONAFER CONSULTORIA E CORRETORA DE SEGUROS LTDA,42629216000160
FREDERICO DINIS,FREDERICO DINIS PLANEJAMENTO FINANCEIRO LTDA.,42768902000112
MAFERSEG,MAFERSEG CORRETORA DE SEGUROS LTDA,42801827000144
RESIDÊNCIAL MIRANTE DA PRAÇA 2 SPE LTDA.,RESIDÊNCIAL MIRANTE DA PRAÇA 2 SPE LTDA.,42812928000110
MATCH FRAME,MATCH FRAME MEDIA FILMES E VÍDEO LTDA,42908895000107
DIASALBU,DIAS & ALBUQUERQUE CORRETORES DE SEGUROS LTDA,48752323000168
MERIDI,MERIDIONAL CORRETORA E ADMINISTRADORA DE SEGUROS LTDA,49327331000120
ITACOLOM,ITACOLOMY CORRETORA DE SEGUROS LTDA,53584181000107
BONVOYAG,BON VOYAGE VIAGENS E TURISMO LTDA,55880785000126
DANTAS,DANTAS DE ALCANTARA CORRETORA DE SEGUROS LTDA,56269020000117
ESITIMA,ESTIMA ADMINISTRADORA E CORRETORA DE SEGUROS LTDA,57811671000150
SAOBERN,SAO BERNARDO ADMINISTRACAO E CORRETAGEM DE SEGUROS LTDA,58159187000150
,HOXTER CORRETORA DE SEGUROS LTDA,58780701000170
JCS,JCS INFORMATICA LTDA,59484063000103
ELITE,ELITE CORRETORA DE SEGUROS LTDA,60900859000189
VARNUM,VARNUM CORRETORA DE SEGUROS LTDA,61456174000158
GLOBO,GLOBO CORRETORA DE SEGUROS LTDA,62596218000108
ANGULO,ANGULO CORRETORA DE SEGUROS LTDA,64161201000153
ARTSEG,ARTSEG CORRETORA DE SEGUROS LTDA,64955297000121
MDF,REPRESENTACOES M.D.F. LTDA,65010449000186
LINESEG,LINESEG CORRETORA DE SEGUROS LTDA,65028599000117
DATO,DATO CORRETORA DE SEGUROS LTDA.,65505786000144
,MCMILLAN DO BRASIL CORRETORA DE SEGUROS S/C LTDA,67186783000110
RHRCORR,RHR CORRETORA DE SEGUROS LTDA.,67639591000112
METROPOL,METROPOLIS CORRETORA DE SEGUROS LTDA,67787861000132
LANDÃO,LANDAO COMERCIO DE FERRAGENS LTDA,67937870000162
TEMPRA,TEMPRA ADMINISTRACAO E CORRETAGEM DE SEGUROS LTDA.,67971440000167
,CONECT CORRETORA DE SEGUROS LTDA,68188176000152
,MEGA ADMINISTRADORA E CORRETAGEM DE SEGUROS LTDA,72784531000123
BRAGA,BRAGA PIRES CORRETORA DE SEGUROS LTDA,73639189000130
NOMI,NOMI CORRETORA DE SEGUROS LTDA,73700338000120
ROSSATO,ROSSATTO CORRETORA DE SEGUROS LTDA,73963829000163